request,General_Party:token,General_Party:id,General_Party,Office_Holder_Jurisdiction:token,Office_Holder_Jurisdiction:id,Office_Holder_Jurisdiction,#_of_Records,Total_$
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=HI",law-p,2,Republican,law-s,HI,HI,10,9350.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=OR",law-p,2,Republican,law-s,OR,OR,16,9150.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=KS",law-p,1,Democratic,law-s,KS,KS,24,8750.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=SC",law-p,2,Republican,law-s,SC,SC,23,8532.49
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=3&law-s=US",law-p,3,Third-Party,law-s,US,US,180,7424.65
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=UT",law-p,2,Republican,law-s,UT,UT,17,7200.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=MS",law-p,2,Republican,law-s,MS,MS,25,6870.98
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=NC",law-p,4,Nonpartisan,law-s,NC,NC,6,6019.36
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=WA",law-p,4,Nonpartisan,law-s,WA,WA,9,5400.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=3&law-s=AK",law-p,3,Third-Party,law-s,AK,AK,6,4250.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=AR",law-p,2,Republican,law-s,AR,AR,10,4190.91
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=IL",law-p,4,Nonpartisan,law-s,IL,IL,12,3500.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=OR",law-p,4,Nonpartisan,law-s,OR,OR,7,3500.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=3&law-s=LA",law-p,3,Third-Party,law-s,LA,LA,3,3300.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=CT",law-p,2,Republican,law-s,CT,CT,14,3070.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=GA",law-p,4,Nonpartisan,law-s,GA,GA,1,3000.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=CO",law-p,2,Republican,law-s,CO,CO,8,2750.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=MI",law-p,4,Nonpartisan,law-s,MI,MI,7,2700.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=UT",law-p,1,Democratic,law-s,UT,UT,9,2550.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=RI",law-p,2,Republican,law-s,RI,RI,13,2320.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=SC",law-p,1,Democratic,law-s,SC,SC,10,2250.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=MS",law-p,1,Democratic,law-s,MS,MS,5,2225.03
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=KY",law-p,2,Republican,law-s,KY,KY,8,1975.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=3&law-s=OH",law-p,3,Third-Party,law-s,OH,OH,3,1750.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=WV",law-p,2,Republican,law-s,WV,WV,2,1000.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=NV",law-p,4,Nonpartisan,law-s,NV,NV,2,750.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=MT",law-p,4,Nonpartisan,law-s,MT,MT,2,660.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=ID",law-p,1,Democratic,law-s,ID,ID,3,600.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=4&law-s=MD",law-p,4,Nonpartisan,law-s,MD,MD,5,520.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=NE",law-p,2,Republican,law-s,NE,NE,2,500.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=2&law-s=NM",law-p,2,Republican,law-s,NM,NM,1,500.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=AR",law-p,1,Democratic,law-s,AR,AR,2,298.25
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=KY",law-p,1,Democratic,law-s,KY,KY,1,250.00
"dt=1&f-fc=1,2,3&law-exi=1&law-y=2020&d-ccb=454,299,453&law-p=1&law-s=ME",law-p,1,Democratic,law-s,ME,ME,1,100.00
