candidate,last_name,first_name,middle_initial,jr_ifapplicable,state,party,office,bill_pass_date,bill_number,original_or_amendment,Note,candidate_entity,election_status,status_of_candidate,specific_party,general_party,election_year,election_type,office_sought,incumbency_status,original_name,contributor,type_of_contributor,specific_business,general_industry,broad_sector,dollar_amount,date,last_updated,type_of_transaction,purpose,city,state.y,zip,in_state,parent_org_or_employer,recipient
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ASSN. FOR LA DEPUTY SHERIFFS PAC,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2001-11-27,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,CAUSE INDEPENDENT EXPENDITURE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,1000,2001-09-13,2017-12-18,DIR,NA,SACRAMENTO,CA,95811,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ASSOC FOR LOS ANGELES DEPUTY SHERIFFS PAC,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2003-09-27,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,POPA INC SMALL CONTRIBUTOR COMMITTEE,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2003-09-03,2020-06-08,DIR,NA,MONTEREY PARK,CA,91754,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,PEACE OFFICERS RESEARCH ASSOC OF CALIF PAC SMALL CONTRIBUTOR COMMITTEE,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2003-09-27,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,PEACE OFFICERS RESEARCH ASSOC OF CALIF PAC SMALL CONTRIBUTOR COMMITTEE,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2003-05-08,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,POPA INC SMALL CONTRIBUTOR COMMITTEE,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2003-05-08,2020-06-08,DIR,NA,MONTEREY PARK,CA,91754,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,PEACE OFFICERS RESEARCH ASSOC OF CALIF PAC SMALL CONTRIBUTOR COMMITTEE,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2004-08-13,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,POPA INC SMALL CONTRIBUTOR COMMITTEE,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2004-06-25,2020-06-08,DIR,NA,MONTEREY PARK,CA,91754,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,CALIF UNION OF SAFETY EMPLOYEES INDEPENDENT EXPENDITURE COMMITTEE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,1000,2004-05-25,2017-12-18,DIR,NA,SACRAMENTO,CA,95811,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,PEACE OFFICERS RESEARCH ASSOC OF CALIF PAC SMALL CONTRIBUTOR COMMITTEE,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2004-03-02,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ASSOC FOR LOS ANGELES DEPUTY SHERIFFS PAC,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2004-03-10,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ASSOC FOR LOS ANGELES DEPUTY SHERIFFS PAC,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2003-03-01,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,PEACE OFFICERS RESEARCH ASSOC OF CALIF PAC,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,1000,2003-03-01,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,CALIF UNION OF SAFETY EMPLOYEES INDEPENDENT EXPENDITURE COMMITTEE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,1000,2004-11-01,2017-12-18,DIR,NA,SACRAMENTO,CA,95811,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,CALIF ASSOC OF HIGHWAY PATROLMEN PAC,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,999,2004-02-27,2020-06-08,DIR,NA,SACRAMENTO,CA,95818,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2000,Standard,SENATE DISTRICT 029,Open,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2000-08-21,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2000,Standard,SENATE DISTRICT 029,Open,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2000-10-19,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2000,Standard,SENATE DISTRICT 029,Open,LA COUNTY PROFESSIONAL PEACE OFFICERS ASSOC,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2000-12-22,2020-06-08,DIR,NA,MONTEREY PARK,CA,91754,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ASSN. FOR LA DEPUTY SHERIFFS PAC,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2002-05-07,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,PAC ASSOC OF ORANGE COUNTY DEPUTY SHERIFFS,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2003-10-14,2020-06-08,DIR,NA,SANTA ANA,CA,92703,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,CALIF UNION OF SAFETY EMPLOYEES INDEPENDENT EXPENDITURE COMMITTEE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,500,2003-09-27,2017-12-18,DIR,NA,SACRAMENTO,CA,95811,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,SACRAMENTO COUNTY DEPUTY SHERRIFFS ASSOC,SACRAMENTO COUNTY DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2003-09-27,2020-06-08,DIR,NA,SACRAMENTO,CA,95814,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,CALIF ASSOC OF HIGHWAY PATROLMEN PAC,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2003-05-31,2020-06-08,DIR,NA,SACRAMENTO,CA,95818,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,SACRAMENTO COUNTY DEPUTY SHERRIFFS ASSOC,SACRAMENTO COUNTY DEPUTY SHERIFFS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,500,2003-03-01,2020-06-08,DIR,NA,SACRAMENTO,CA,95814,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,CALIF UNION OF SAFETY EMPLOYEES INDEPENDENT EXPENDITURE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,500,2003-06-09,2017-12-18,DIR,NA,SACRAMENTO,CA,95811,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,LONG BEACH POLICE OFFICERS ASSN. PAC,LONG BEACH POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,250,2002-10-15,2020-06-08,DIR,NA,LONG BEACH,CA,90755,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ANAHEIM POLICE OFFICERS PAC,ANAHEIM POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,250,2002-10-15,2020-06-08,DIR,NA,ANAHEIM,CA,92805,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,SANTA ANA POLICE OFFICERS PAC,SANTA ANA POLICE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,250,2002-10-15,2020-06-08,DIR,NA,SANTA ANA,CA,92701,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,PAC ASSOCIATION OF ORANGE COUNTY,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,250,2002-08-30,2020-06-08,DIR,NA,SANTA ANA,CA,92703,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,POPA / LA CO. PEACE OFFICERS / SM. CONT. CMTE,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,250,2001-06-29,2020-06-08,DIR,NA,MONTEREY PARK,CA,91754,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,POPA / LA CO. PEACE OFFICERS / SM. CONT. CMTE,LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,250,2001-04-09,2020-06-08,DIR,NA,MONTEREY PARK,CA,91754,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ASSN. FOR LA DEPUTY SHERIFFS PAC,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,250,2001-07-13,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"MARGETT, BOB",MARGETT,BOB,NA,NA,CA,REPUBLICAN,29TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"MARGETT, BOB",Won-General,Won,REPUBLICAN,REPUBLICAN,2004,Standard,SENATE DISTRICT 029,Incumbent,ASSN. FOR LA DEPUTY SHERIFFS PAC,ASSOCIATION FOR LOS ANGELES DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,200,2001-05-17,2020-06-08,DIR,NA,LOS ANGELES,CA,90015,1,NA,"MARGETT, BOB"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2006,Standard,SENATE DISTRICT 024,Incumbent,CA ASSOCIATION OF HIGHWAY PATROLMEN,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,6700,2006-11-03,2020-06-08,DIR,NA,SACRAMENTO,CA,95818,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,PEACE OFFICERS RESEARCH ASSN. OF CA (SMALL CONT. C,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,5000,2001-06-22,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2006,Standard,SENATE DISTRICT 024,Incumbent,PEACE OFFICERS RESEARCH ASSN OF CA (SMALL CONT COMM),PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,4400,2003-06-30,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,POPA INC. (SMALL CONTR. COMM.),LOS ANGELES COUNTY PROFESSIONAL PEACE OFFICERS ASSOCIATION,Non-Individual,Police unions & associations,Public Sector Unions,Labor,3900,2002-10-17,2020-06-08,DIR,NA,MONTEREY PARK,CA,91754,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,CAUSE INDEPENDENT EXPENDITURE,CALIFORNIA UNION OF SAFETY EMPLOYEES,Non-Individual,Emergency responder unions and associations,Public Sector Unions,Labor,3000,2002-09-19,2017-12-18,DIR,NA,SACRAMENTO,CA,95811,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,L.A. POLICE PROTECTIVE LEAGUE,LOS ANGELES POLICE PROTECTIVE LEAGUE,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2500,2002-11-05,2020-06-08,DIR,NA,SACRAMENTO,CA,95814,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,PEACE OFFICERS RESEARCH ASSN. OF CA (SMALL CONT. C,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2500,2002-11-04,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,POLITICAL ACTION COMMITTEE ASSOCIATION OF ORANGE C,ASSOCIATION OF ORANGE COUNTY DEPUTY SHERIFFS,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2000,2002-10-18,2020-06-08,DIR,NA,SANTA ANA,CA,92703,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,CA ASSOCIATION OF HIGHWAY PATROLMEN,CALIFORNIA ASSOCIATION OF HIGHWAY PATROLMEN,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2000,2002-09-03,2020-06-08,DIR,NA,SACRAMENTO,CA,95818,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,PEACE OFFICERS RESEARCH ASSN. OF CA (SMALL CONT. C,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2000,2002-09-09,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"ROMERO, GLORIA"
"ROMERO, GLORIA",ROMERO,GLORIA,NA,NA,CA,DEMOCRAT,24TH DISTRICT,2004-08-17,SB 1796,Amendment,Amendment included as part of a public safety omnibus bill.,"ROMERO, GLORIA",Won-General,Won,DEMOCRATIC,DEMOCRATIC,2002,Standard,SENATE DISTRICT 024,Incumbent,PEACE OFFICERS RESEARCH ASSN. OF CA (SMALL CONT. C,PEACE OFFICERS RESEARCH ASSOCIATION OF CALIFORNIA,Non-Individual,Police unions & associations,Public Sector Unions,Labor,2000,2002-05-17,2020-06-08,DIR,NA,SACRAMENTO,CA,95833,1,NA,"ROMERO, GLORIA"
